Full-Stack,Front-End,Back-End,Other-Development,Other-Tech,Creative-Design,Business-Marketing,Other-Occupation,portfolio,certifs,video,testims,jobs,hour_rate_clean,success_rate,rate_cat,hours_per_week,hours,earnings,num-occups,country,embedding_pca
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,38.0,1.0,2.0,1.0,723.0,18000.0,1.0,0.0,-1.9118642586277277
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,54.0,35.0,0.9505,0.0,2.0,1572.0,28000.0,2.0,0.0,0.4650379624150451
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,11.0,22.5,0.92,0.0,2.0,12.0,1000.0,2.0,0.0,-1.0902255313917468
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,40.0,1.0,3.0,1.0,4855.0,120000.0,2.0,0.0,1.7681016762794284
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,30.0,1.0,2.0,2.0,362.0,9400.0,1.0,0.0,2.3706404782210124
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,20.0,0.7663333333333332,0.0,1.0,4.25,85.0,2.0,0.0,-1.0213994027343989
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,15.0,0.64,0.0,1.0,9.0,760.0,1.0,0.0,1.0875389516181022
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,10.0,0.7276666666666664,0.0,2.0,6.0,187.0,1.0,0.0,1.0604194663846318
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,10.0,0.89,0.0,1.0,14.5,145.0,1.0,0.0,1.1031524342552022
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,20.0,0.8966666666666668,0.0,1.0,50.0,1900.0,2.0,0.0,0.182592917273936
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,25.0,1.0,2.0,2.0,173.0,5400.0,2.0,0.0,-1.9440921450655868
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.8600000000000001,0.0,2.0,17.533333333333335,263.0,1.0,0.0,0.26998020505053
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,40.0,1.0,3.0,0.0,1983.0,1120.0,1.0,0.0,0.4581409981554751
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,25.0,1.0,3.0,2.0,10654.0,113000.0,2.0,0.0,-0.5419916103085747
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,95.0,35.0,1.0,2.0,1.0,1593.0,3325.0,2.0,0.0,-1.8666826325503385
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,58.0,30.0,0.89,0.0,1.0,4305.0,131000.0,1.0,0.0,1.0819484828590265
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,30.0,0.79,0.0,1.0,1.0,497.0,2.0,0.0,3.258676190769678
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,21.0,1.0,0.0,1.0,1365.0,43000.0,1.0,0.0,1.0265926378987815
